id,sentence,intent
37,من بعد اذنك في حجز ذهاب و اياب على دبي 29 /1 الذهاب و 5 /2 الاياب  ؟؟؟,booking_availablity
46,صباح الخير لو سمحت في بعد بكرة حجز ع بغداد من مطار دمشق,booking_availablity
1431,هل يوجد اماكن يوم الخميس دمش بغداد,booking_availablity
211,في حجز رحلة من مسقط الى دمشق يوم الجمعة ٢٧ الشهر,booking_availablity
527,في حجز ٦/٧ بيروت دمشق,booking_availablity
720,بدي استفسر اذا في حجز ذهاب واياب بتاريخ 5/3 ذهاب من دمشق الدولي للشارقة واياب بتاريخ 14/4,booking_availablity
767,لوحابب احجز من الدوحه عحلب في حجز,booking_availablity
782,هل في حجز من دمشق الى البحرين,booking_availablity
1077,هل يوجد حجز مباشر لحلب  من الامارات ليوم,booking_availablity
1079,هل يوجد حجز في تاريخ 8/2/2023,booking_availablity
1112,مرحبا بدي اعرف اذا في حجز طيارة من بيروت الى دمشق الجمعة صباحا في ١٠/٢,booking_availablity
1116,بتاريخ ١٨ شهر اذار الذهاب من ابو ظبي والعودة بتاريخ ٢٩ شهر نيسان من دمشق مفتوح الحجز,booking_availablity
1278,هل يوجد حجز بيوم ٢٧ من دبي إلى دمشق,booking_availablity
1477,يوجد حجز غدا الى دمشق,booking_availablity
1516,ممكن اعرف اذا في حجز ٣ مقاعد من الشام للقامشلي قبل العيد آخر رمضان,booking_availablity
1590,بدي استفسر عن حجز  بدي اسأل إذا متوفر حجز من بيروت ل دمشق ذهاب بس,booking_availablity
1742,هل يوجد حجز من مسقط الى حلب وبالعكس,booking_availablity
2041,رحله من تاريخ 22/3 والعوده 1/5 من مطار الكويت الى مطار دمشق الدولي,booking_availablity
2203,هل يوجد حجز مباشر من الرياض الى دمشق,booking_availablity
2252,في حجز من الكويت الى دمشق  تاريخ 4/22 الى 4/29,booking_availablity
1792,رحلة دم دمشق إلى بغداد تاريخ ١٣.٣.٢٠٢٣ ذهاب فقط موجود,booking_availablity
541,هل يوجد حجز ب  تشرين الاول؟,booking_availablity
245,"بدي استفسر عن الحجوزات بشهر 4 ، ايام 6_13_20 رحله مباشر ، من دمشق الى مسقط",booking_availablity
1450,لو سمحت حابب اعرف امتى في حجوزات من دمشق الى دبي ذهاب و اياب,booking_availablity
1613,لوسمحتوا في حجز من موسكو على مطار اللاذقية؟,booking_availablity
1818,"اريد ان احجز رحلة طيران من بيروت إلى دمشق، وأريد الدفع إلكترونيا، لم استطيع ان احجز",booking_issues
865,عم حاول شوف سعر التكت و عم دخل كل شي مطلوب بس اخر شي ما بيطلع شي,booking_issues
582,كيف فيني احجز,booking_methods
583,السلام عليكم لدي سؤال بعد اذنكم كيف يمكنني حجز في شركتكم الى دمشق او حلب علما انني الان مقيم في بلجيكا الرجاء منكم اعطائي بعض الارشادات للحجز تحياتي لكم و الى جميع العامليت معكم,booking_methods
980,بدي احجز من السعودية لدمشق شلون,booking_methods
981,مرحبا لو سمحتو أنا بجدة وبدي احجز عن طريقكم لأنزل ع الشام شو الطريقة,booking_methods
982,كيف بدي احجز من المانيا,booking_methods
1113,كيف ممكن احجز من ابوظبي الى دمشق,booking_methods
1378,أنا سوري موجود بطهران كيف بدي احجز على دمشق,booking_methods
1605,انا بالبحرين بغيت اشتري تذكره من الكويت الى دمشق شنو الطريقه,booking_methods
1706,نحن عائله من اربع اشخاص من موسكو الى دمشق نبحث عن بطاقات طيران نعيش في بيلاروسيا فسؤال كيف فينا نشتري بطاقات من بيلاروسيا,booking_methods
2048,فيني اشتري تكت ل 3اشخاص اونلاين,booking_methods
2263,كيف ممكن احجز بطاقات طيران ذهاب اياب من الكويت لدمشق اونلاين؟,booking_methods
2292,كيفية الحجز,booking_methods
2293,كيف بدي احجز لاربيل ذهاب فقط,booking_methods
1125,لو سمحتو طريقة الحجز من الرياض الى دمشق,booking_methods
1038,حجزت اليوم برحلة دمشق القامشلي يوم ١٩ فبراير وحابب اجل الحجز تبعي شو التكاليف الي بتترتب عالبطاقة,change_book_cost_inquiry
2227,اريد ان اسبق في حجز العودة,change_book_inquiry
1194,لو سمحتو كم رحلة في للرياض من دمشق,flight_schedules_inquiry
2101,هل يوجد خصومات ؟او عروض ؟,offer_inquiry
2210,كم كلفه عرض العطلات رحله دبي لشخصين بعيد الفطر,offer_inquiry
2100,كيف ألية الدفع ممكن عن طريق تحويل مصرفي ؟,payment_methods
733,من سوريا إلى الإمارات شو بتكلف,ticket_price_inquiry
1494,بدي استفسر عن الحجوز بشهر 7 من الشارقة الى حلب ذهاب و اياب كم ؟,ticket_price_inquiry
